,0,1,2,3
0,5.0,0.01,0.0,4.292307214070107
1,5.0,0.01,0.001,4.292307455161489
2,5.0,0.01,0.01,4.2923096179079945
3,5.0,0.01,0.1,4.2921133089937715
4,5.0,0.1,0.0,3.9682616168517604
5,5.0,0.1,0.001,3.9682612707042173
6,5.0,0.1,0.01,3.959655075843239
7,5.0,0.1,0.1,3.9731557696768167
8,5.0,1.0,0.0,4.497299612089486
9,5.0,1.0,0.001,4.497276678172455
10,5.0,1.0,0.01,4.5229207515612595
11,5.0,1.0,0.1,4.4409448729151935
12,6.0,0.01,0.0,4.278421754997038
13,6.0,0.01,0.001,4.278422246636692
14,6.0,0.01,0.01,4.278573190138467
15,6.0,0.01,0.1,4.278201186163987
16,6.0,0.1,0.0,3.9692157840353457
17,6.0,0.1,0.001,3.9692149870607296
18,6.0,0.1,0.01,3.9680142328371497
19,6.0,0.1,0.1,3.969294816116337
20,6.0,1.0,0.0,4.7796266900425275
21,6.0,1.0,0.001,4.779592165991356
22,6.0,1.0,0.01,4.7115633599321916
23,6.0,1.0,0.1,4.6783065328361735
24,7.0,0.01,0.0,4.274070052073095
25,7.0,0.01,0.001,4.274071021824062
26,7.0,0.01,0.01,4.274156935774727
27,7.0,0.01,0.1,4.274437463664655
28,7.0,0.1,0.0,3.973904775601964
29,7.0,0.1,0.001,3.9739035329816796
30,7.0,0.1,0.01,3.9698652669608245
31,7.0,0.1,0.1,3.9856800979248677
32,7.0,1.0,0.0,4.884946061795262
33,7.0,1.0,0.001,5.054829857299393
34,7.0,1.0,0.01,4.887654801926038
35,7.0,1.0,0.1,4.971567734433158
36,8.0,0.01,0.0,4.27119044081645
37,8.0,0.01,0.001,4.270407752564972
38,8.0,0.01,0.01,4.269876007432515
39,8.0,0.01,0.1,4.270717812808639
40,8.0,0.1,0.0,4.000118817716313
41,8.0,0.1,0.001,4.005374953180104
42,8.0,0.1,0.01,4.006982419268359
43,8.0,0.1,0.1,3.993124707520866
44,8.0,1.0,0.0,5.045750325129595
45,8.0,1.0,0.001,5.118590539297579
46,8.0,1.0,0.01,5.1116074588299325
47,8.0,1.0,0.1,5.1798713659635816
48,9.0,0.01,0.0,4.266288865783721
49,9.0,0.01,0.001,4.266536824382544
50,9.0,0.01,0.01,4.266644328761484
51,9.0,0.01,0.1,4.265617752040438
52,9.0,0.1,0.0,3.992343661438277
53,9.0,0.1,0.001,3.99370669877444
54,9.0,0.1,0.01,3.983923297885694
55,9.0,0.1,0.1,4.0004311471374665
56,9.0,1.0,0.0,5.3138854644947875
57,9.0,1.0,0.001,5.186997676486841
58,9.0,1.0,0.01,5.138514768281274
59,9.0,1.0,0.1,5.263221746599183
60,10.0,0.01,0.0,4.2679568908973735
61,10.0,0.01,0.001,4.2677743341504595
62,10.0,0.01,0.01,4.269837035931005
63,10.0,0.01,0.1,4.267125334772763
64,10.0,0.1,0.0,3.9794445140113144
65,10.0,0.1,0.001,3.98424553593095
66,10.0,0.1,0.01,3.9649589467019175
67,10.0,0.1,0.1,3.9577165329116384
68,10.0,1.0,0.0,5.201650246250348
69,10.0,1.0,0.001,5.234554801844496
70,10.0,1.0,0.01,5.1969574933921
71,10.0,1.0,0.1,5.316709385018595
72,11.0,0.01,0.0,4.271948848857277
73,11.0,0.01,0.001,4.271989128023548
74,11.0,0.01,0.01,4.272919187976566
75,11.0,0.01,0.1,4.271862985136618
76,11.0,0.1,0.0,3.996138510451005
77,11.0,0.1,0.001,4.005506165140823
78,11.0,0.1,0.01,3.9931067043465425
79,11.0,0.1,0.1,3.9900456959181083
80,11.0,1.0,0.0,5.366081728838136
81,11.0,1.0,0.001,5.255364204196663
82,11.0,1.0,0.01,5.267048086156065
83,11.0,1.0,0.1,5.2504467850360275
84,12.0,0.01,0.0,4.274385948177473
85,12.0,0.01,0.001,4.272927736223783
86,12.0,0.01,0.01,4.271748747442825
87,12.0,0.01,0.1,4.273134260597719
88,12.0,0.1,0.0,4.005010985383009
89,12.0,0.1,0.001,4.040281128787382
90,12.0,0.1,0.01,4.027182170321914
91,12.0,0.1,0.1,4.016153909689649
92,12.0,1.0,0.0,5.382204828527922
93,12.0,1.0,0.001,5.249393987292288
94,12.0,1.0,0.01,5.34644707252169
95,12.0,1.0,0.1,5.315550293578285
96,13.0,0.01,0.0,4.273513306348368
97,13.0,0.01,0.001,4.274852618793889
98,13.0,0.01,0.01,4.27465717744603
99,13.0,0.01,0.1,4.273095516902842
100,13.0,0.1,0.0,4.0456139664601265
101,13.0,0.1,0.001,4.054819786730903
102,13.0,0.1,0.01,4.037690031896768
103,13.0,0.1,0.1,4.044657040903154
104,13.0,1.0,0.0,5.306989328248919
105,13.0,1.0,0.001,5.304119821846402
106,13.0,1.0,0.01,5.194283685261493
107,13.0,1.0,0.1,5.25016679946585
108,14.0,0.01,0.0,4.286108045964473
109,14.0,0.01,0.001,4.283553596936188
110,14.0,0.01,0.01,4.283903436302559
111,14.0,0.01,0.1,4.284054382331722
112,14.0,0.1,0.0,4.055152538080421
113,14.0,0.1,0.001,4.049117359189851
114,14.0,0.1,0.01,4.077247354456793
115,14.0,0.1,0.1,4.062872100447427
116,14.0,1.0,0.0,5.244302295001715
117,14.0,1.0,0.001,5.33781985811825
118,14.0,1.0,0.01,5.3216490795461
119,14.0,1.0,0.1,5.270261717622633
